Code,Year,Population - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: medium
,2049,,2430064262
,2050,,2466647620
,2051,,2503122516
,2052,,2539451373
,2053,,2575522782
,2054,,2611380457
,2055,,2647051970
,2056,,2682482474
,2057,,2717607367
,2058,,2752440398
,2059,,2787096127
,2060,,2821497087
,2061,,2855583532
,2062,,2889314507
,2063,,2922620945
,2064,,2955590718
,2065,,2988210866
,2066,,3020431493
,2067,,3052276113
,2068,,3083691198
,2069,,3114659620
,2070,,3145215298
,2071,,3175353103
,2072,,3205068478
,2073,,3234288654
,2074,,3263034377
,2075,,3291312263
,2076,,3319032004
,2077,,3346261903
,2078,,3373019608
,2079,,3399165506
,2080,,3424700639
,2081,,3449654770
,2082,,3474067601
,2083,,3497973773
,2084,,3521288023
,2085,,3544047843
,2086,,3566322718
,2087,,3587962920
,2088,,3608879961
,2089,,3629227521
,2090,,3649045624
,2091,,3668203744
,2092,,3686701888
,2093,,3704607597
,2094,,3721931323
,2095,,3738661361
,2096,,3754852618
,2097,,3770482448
,2098,,3785518318
,2099,,3799971485
,2100,,3813883603
ALB,1950,1247854,
ALB,1951,1276365,
ALB,1952,1308368,
ALB,1953,1343581,
ALB,1954,1381088,
ALB,1955,1418855,
ALB,1956,1456823,
ALB,1957,1497954,
ALB,1958,1543982,
ALB,1959,1595021,
ALB,1960,1649393,
ALB,1961,1698801,
ALB,1962,1743739,
ALB,1963,1791289,
ALB,1964,1841445,
ALB,1965,1894317,
ALB,1966,1950049,
ALB,1967,2008524,
ALB,1968,2068848,
ALB,1969,2126885,
ALB,1970,2181226,
ALB,1971,2234995,
ALB,1972,2289265,
ALB,1973,2344108,
ALB,1974,2399397,
ALB,1975,2454861,
ALB,1976,2510579,
ALB,1977,2566603,
ALB,1978,2624620,
ALB,1979,2681393,
ALB,1980,2735424,
ALB,1981,2790413,
ALB,1982,2846910,
ALB,1983,2905128,
ALB,1984,2964961,
ALB,1985,3026245,
ALB,1986,3087658,
ALB,1987,3148843,
ALB,1988,3212924,
ALB,1989,3260369,
ALB,1990,3277965,
ALB,1991,3282608,
ALB,1992,3282506,
ALB,1993,3277831,
ALB,1994,3269417,
ALB,1995,3258573,
ALB,1996,3245680,
ALB,1997,3229665,
ALB,1998,3210134,
ALB,1999,3188598,
ALB,2000,3166147,
ALB,2001,3147943,
ALB,2002,3134095,
ALB,2003,3118093,
ALB,2004,3098662,
ALB,2005,3076156,
ALB,2006,3050805,
ALB,2007,3022887,
ALB,2008,2992933,
ALB,2009,2961487,
ALB,2010,2928731,
ALB,2011,2911499,
ALB,2012,2910003,
ALB,2013,2907571,
ALB,2014,2903748,
ALB,2015,2898634,
ALB,2016,2897868,
ALB,2017,2898245,
ALB,2018,2894229,
ALB,2019,2885011,
ALB,2020,2871950,
ALB,2021,2849641,
ALB,2022,2827614,
ALB,2023,2811660,
ALB,2024,,2791756
ALB,2025,,2771507
ALB,2026,,2751025
ALB,2027,,2731222
ALB,2028,,2711665
ALB,2029,,2691909
ALB,2030,,2671882
ALB,2031,,2651879
ALB,2032,,2632163
ALB,2033,,2612049
ALB,2034,,2591313
ALB,2035,,2570587
ALB,2036,,2549688
ALB,2037,,2528236
ALB,2038,,2506595
ALB,2039,,2484368
ALB,2040,,2461865
ALB,2041,,2439527
ALB,2042,,2417265
ALB,2043,,2395167
ALB,2044,,2373263
ALB,2045,,2351282
ALB,2046,,2328949
ALB,2047,,2306872
ALB,2048,,2284843
ALB,2049,,2262551
ALB,2050,,2240170
ALB,2051,,2218015
ALB,2052,,2195842
ALB,2053,,2173327
ALB,2054,,2150770
ALB,2055,,2128296
ALB,2056,,2106077
ALB,2057,,2083965
ALB,2058,,2061947
ALB,2059,,2039982
ALB,2060,,2017999
ALB,2061,,1996204
ALB,2062,,1974549
ALB,2063,,1952814
ALB,2064,,1931104
ALB,2065,,1909490
ALB,2066,,1888153
ALB,2067,,1866856
ALB,2068,,1845406
ALB,2069,,1824104
ALB,2070,,1802822
ALB,2071,,1781411
ALB,2072,,1759876
ALB,2073,,1738324
ALB,2074,,1716477
ALB,2075,,1694382
ALB,2076,,1672509
ALB,2077,,1650551
ALB,2078,,1628469
ALB,2079,,1606481
ALB,2080,,1584306
ALB,2081,,1561892
ALB,2082,,1539382
ALB,2083,,1516785
ALB,2084,,1494291
ALB,2085,,1471971
ALB,2086,,1449871
ALB,2087,,1428113
ALB,2088,,1406583
ALB,2089,,1385274
ALB,2090,,1364423
ALB,2091,,1344058
ALB,2092,,1324192
ALB,2093,,1304881
ALB,2094,,1286144
ALB,2095,,1268012
ALB,2096,,1250427
ALB,2097,,1233361
ALB,2098,,1216784
ALB,2099,,1200681
ALB,2100,,1184999
DZA,1950,9018423,
DZA,1951,9269870,
DZA,1952,9521212,
DZA,1953,9772644,
DZA,1954,10014393,
DZA,1955,10247429,
DZA,1956,10482183,
DZA,1957,10717503,
DZA,1958,10953641,
DZA,1959,11189621,
DZA,1960,11424930,
DZA,1961,11628877,
DZA,1962,11800768,
DZA,1963,11982121,
DZA,1964,12179807,
DZA,1965,12365979,
DZA,1966,12590068,
DZA,1967,12876115,
DZA,1968,13172615,
DZA,1969,13475959,
DZA,1970,13783722,
DZA,1971,14098937,
DZA,1972,14427075,
DZA,1973,14771150,
DZA,1974,15133508,
DZA,1975,15678603,
DZA,1976,16409171,
DZA,1977,17015988,
DZA,1978,17506977,
DZA,1979,18036655,
DZA,1980,18607175,
