ISO,Year,GDP per capita growth (annual %)
ALB,1998,8.993806823
ALB,1999,12.96392688
ALB,2000,8.149967935
ALB,2001,9.890193571
ALB,2002,4.942622963
ALB,2003,5.728105981
ALB,2004,5.707123084
ALB,2005,5.67025028
ALB,2006,6.689981397
ALB,2007,7.307982629
ALB,2008,7.730561614
ALB,2009,3.385115395
ALB,2010,3.485648086
ALB,2011,2.739532557
ALB,2012,1.151044013
ALB,2013,1.89373834
ALB,2014,2.452131572
ALB,2015,2.525830935
ALB,2016,4.075198423
ALB,2017,3.378211536
ALB,2018,3.927525709
ALB,2019,2.498299447
ALB,2020,-2.756980235
ALB,2021,9.98433058
ALB,2022,6.108947895
ALB,2023,5.137123553
ALB,2024,5.162521915
DZA,1960,
DZA,1961,-15.1207305
DZA,1962,-20.85489569
DZA,1963,32.2809169
DZA,1964,4.121494781
DZA,1965,4.608011492
DZA,1966,-6.499365124
DZA,1967,7.021413668
DZA,1968,8.302379603
DZA,1969,5.992429921
DZA,1970,6.432002329
DZA,1971,-13.3141205
DZA,1972,24.52577977
DZA,1973,1.39498097
DZA,1974,4.92107056
DZA,1975,1.393255326
DZA,1976,3.561128727
DZA,1977,1.504856631
DZA,1978,6.151924884
DZA,1979,4.321533844
DZA,1980,-2.299757868
DZA,1981,-0.287791268
DZA,1982,2.910988912
DZA,1983,1.88412407
DZA,1984,2.056225855
DZA,1985,0.229398497
DZA,1986,-2.852962704
DZA,1987,-3.657040952
DZA,1988,-3.734412505
DZA,1989,1.679982859
DZA,1990,-1.66808065
DZA,1991,-3.527129476
DZA,1992,-0.649140042
DZA,1993,-4.427459048
DZA,1994,-3.068508375
DZA,1995,1.674745172
DZA,1996,2.081849895
DZA,1997,-0.767068614
DZA,1998,3.43950504
DZA,1999,1.776942418
DZA,2000,2.35726435
DZA,2001,1.595178144
DZA,2002,4.007050315
DZA,2003,5.093332127
DZA,2004,3.050861482
DZA,2005,3.868902142
DZA,2006,1.326188949
DZA,2007,1.393468337
DZA,2008,0.652527944
DZA,2009,-0.720420575
DZA,2010,2.779219082
DZA,2011,1.003992371
DZA,2012,0.379563284
DZA,2013,0.54874363
DZA,2014,2.00005201
DZA,2015,1.099620619
DZA,2016,1.785940647
DZA,2017,-0.541667024
DZA,2018,-0.54601958
DZA,2019,-0.939992962
DZA,2020,-6.612475097
DZA,2021,2.132636327
DZA,2022,1.968251881
DZA,2023,2.551203019
DZA,2024,1.865519889
ASM,1960,
ASM,1961,
ASM,1962,
ASM,1963,
ASM,1964,
ASM,1965,
ASM,1966,
ASM,1967,
ASM,1968,
ASM,1969,
ASM,1970,
ASM,1971,
ASM,1972,
ASM,1973,
ASM,1974,
ASM,1975,
ASM,1976,
ASM,1977,
ASM,1978,
ASM,1979,
ASM,1980,
ASM,1981,
ASM,1982,
ASM,1983,
ASM,1984,
ASM,1985,
ASM,1986,
ASM,1987,
ASM,1988,
ASM,1989,
ASM,1990,
ASM,1991,
ASM,1992,
ASM,1993,
ASM,1994,
ASM,1995,
ASM,1996,
ASM,1997,
ASM,1998,
ASM,1999,
ASM,2000,
ASM,2001,
ASM,2002,
ASM,2003,1.126789855
ASM,2004,0.680220537
ASM,2005,-0.05459527
ASM,2006,-3.684976855
ASM,2007,2.32559828
ASM,2008,-2.160411774
ASM,2009,-3.648909859
ASM,2010,0.844681592
ASM,2011,0.606612624
ASM,2012,-3.622022585
ASM,2013,-1.628013554
ASM,2014,2.790612438
ASM,2015,4.296623367
ASM,2016,-0.488137584
ASM,2017,-5.799364048
ASM,2018,4.038507121
ASM,2019,0.897584681
ASM,2020,5.351787426
ASM,2021,0.29788482
ASM,2022,3.593276063
ASM,2023,
ASM,2024,
AND,1960,
AND,1961,
AND,1962,
AND,1963,
AND,1964,
AND,1965,
AND,1966,
AND,1967,
AND,1968,
AND,1969,
AND,1970,
AND,1971,-2.500589058
AND,1972,1.012623632
AND,1973,0.905266181
AND,1974,-0.876786145
AND,1975,-5.405687749
AND,1976,-2.532406651
