Code,Year,population using safely managed drinking water services,population using only basic drinking water services,population using limited drinking water services,population using unimproved drinking water services,population using surface water as a primary source of drinking water
DZA,2016,76.39486,17.227917,5.122655,1.1133953,0.14117444
DZA,2017,75.730545,18.101433,5.0879326,0.95441663,0.12567607
DZA,2018,75.03613,19.001284,5.053533,0.79837924,0.110672675
DZA,2019,73.95388,20.285263,5.0195265,0.64518666,0.09614713
DZA,2020,72.248146,22.189182,4.985881,0.4947109,0.0820783
DZA,2021,70.54703,24.085072,4.9526157,0.34683487,0.06844745
DZA,2022,70.59793,24.063463,4.9260125,0.34456024,0.06802979
ASM,2000,80.575195,14.357098,0,5.0677094,0
ASM,2001,81.616714,13.569252,0,4.8140354,0
ASM,2002,82.662636,12.777001,0,4.5603614,0
ASM,2003,83.71297,11.980348,0,4.306687,0
ASM,2004,84.7677,11.17929,0,4.053013,0
ASM,2005,85.826836,10.373829,0,3.7993386,0
ASM,2006,86.89037,9.563964,0,3.5456643,0
ASM,2007,87.55782,9.150187,0,3.2919903,0
ASM,2008,87.7875,9.174189,0,3.038316,0
ASM,2009,88.017166,9.198191,0,2.7846417,0
ASM,2010,88.24684,9.222193,0,2.5309677,0
ASM,2011,88.47651,9.246194,0,2.2772934,0
ASM,2012,88.706184,9.270196,0,2.0236192,0
ASM,2013,88.93586,9.294198,0,1.769945,0
ASM,2014,89.16553,9.318199,0,1.5162708,0
ASM,2015,89.3952,9.342201,0,1.2625966,0
ASM,2016,89.62488,9.366203,0,1.0089223,0
ASM,2017,89.854546,9.390204,0,0.7552482,0
ASM,2018,89.854546,9.390204,0,0.7552482,0
ASM,2019,89.854546,9.390204,0,0.7552482,0
ASM,2020,89.854546,9.390204,0,0.7552482,0
ASM,2021,89.854546,9.390204,0,0.7552482,0
,2000,78.202034,15.711216,0.5584882,3.9330235,1.5952386
,2001,78.39714,15.757779,0.54051524,3.7555056,1.549062
,2002,78.58096,15.816547,0.5197104,3.5648248,1.5179558
,2003,78.738655,15.897185,0.4990742,3.397321,1.467763
,2004,78.8948,15.973004,0.4800471,3.2336006,1.4185513
,2005,78.962524,16.020323,0.46142146,3.1862547,1.3694767
,2006,79.12321,16.088709,0.44282973,3.024753,1.320498
,2007,82.537674,12.900807,0.42423216,2.8656573,1.2716312
,2008,82.710014,12.949342,0.40762854,2.7097464,1.223271
,2009,82.879105,12.983365,0.40571454,2.556124,1.1756893
,2010,83.04701,13.041983,0.40397468,2.378429,1.128598
,2011,83.07879,13.233461,0.40225878,2.2036378,1.0818505
,2012,83.10674,13.424305,0.40084293,2.0326748,1.0354329
,2013,83.17392,13.567996,0.39880064,1.8794901,0.979794
,2014,83.23802,13.71255,0.39615527,1.7271118,0.9261609
,2015,83.29857,13.857594,0.3936781,1.5750338,0.875122
,2016,83.34715,13.994408,0.3904658,1.4445901,0.82338256
,2017,83.415955,14.08187,0.37142703,1.1157341,1.0150113
,2018,83.479355,14.209925,0.3720433,0.9353575,1.0033193
,2019,83.56374,14.313063,0.36367273,0.8284404,0.93108344
,2020,83.6085,14.46502,0.30825433,0.75592005,0.86230445
,2021,81.432304,16.928585,0.26444688,0.62873966,0.7459275
,2022,81.45162,17.000431,0.26352015,0.58127683,0.70315003
AND,2000,90.64,9.36,0,5.367367e-07,0
AND,2001,90.64,9.359999,0,0,0
AND,2002,90.64,9.359999,0,0,0
AND,2003,90.64,9.36,0,0,0
AND,2004,90.64,9.359999,0,0,0
AND,2005,90.64,9.36,0,2.1217718e-06,0
AND,2006,90.64001,9.359996,0,0,0
AND,2007,90.64001,9.359997,0,0,0
AND,2008,90.64001,9.359996,0,0,0
AND,2009,90.64001,9.359996,0,0,0
AND,2010,90.64,9.36,0,1.9255103e-06,0
AND,2011,90.64,9.359999,0,0,0
AND,2012,90.64,9.36,0,1.9983206e-06,0
AND,2013,90.64,9.359998,0,0,0
AND,2014,90.64,9.36,0,0,0
AND,2015,90.64,9.359999,0,0,0
AND,2016,90.64,9.36,0,3.99665e-06,0
AND,2017,90.64001,9.359997,0,0,0
AND,2018,90.64,9.36,0,4.434453e-06,0
AND,2019,90.64,9.36,0,3.2079374e-06,0
AND,2020,90.64,9.36,0,1.4728561e-06,0
AND,2021,90.64,9.359999,0,0,0
AND,2022,90.64,9.359999,0,0,0
AGO,2000,,,21.087704,9.072292,28.695694
AGO,2001,,,20.556536,9.111735,28.077053
AGO,2002,,,20.014376,9.141613,27.46721
AGO,2003,,,19.407177,9.67336,26.555592
AGO,2004,,,18.79056,10.218383,25.639723
AGO,2005,,,18.164276,10.777518,24.722189
AGO,2006,,,17.500805,11.397855,23.951109
AGO,2007,,,16.83318,12.027054,23.178297
AGO,2008,,,16.16174,12.664817,22.40304
AGO,2009,,,15.48646,13.311532,21.626844
AGO,2010,,,14.8077345,13.9668045,20.848621
AGO,2011,,,14.125724,14.630674,20.068766
AGO,2012,,,13.440605,15.303167,19.287685
AGO,2013,,,12.752576,15.984276,18.505802
AGO,2014,,,12.061908,16.673824,17.722761
AGO,2015,,,11.368619,17.372355,16.942097
AGO,2016,,,10.673101,18.07951,16.163116
AGO,2017,,,9.975666,18.795135,15.386289
AGO,2018,,,9.276622,19.519142,14.612487
AGO,2019,,,9.282047,19.484594,14.350322
AGO,2020,,,9.28735,19.450825,14.094088
AGO,2021,,,9.292547,19.417732,13.842997
AGO,2022,,,9.297628,19.38537,13.59744
AIA,2000,,,0,3.8307693,0
AIA,2001,,,0,3.729766,0
AIA,2002,,,0,3.6287625,0
AIA,2003,,,0,3.5277593,0
AIA,2004,,,0,3.426756,0
AIA,2005,,,0,3.3257525,0
AIA,2006,,,0,3.224749,0
AIA,2007,,,0,3.123746,0
AIA,2008,,,0,3.0227425,0
AIA,2009,,,0,2.921739,0
AIA,2010,,,0,2.8207357,0
AIA,2011,,,0,2.7197325,0
AIA,2012,,,0,2.618729,0
AIA,2013,,,0,2.5177257,0
AIA,2014,,,0,2.5177257,0
AIA,2015,,,0,2.5177257,0
AIA,2016,,,0,2.5177257,0
AIA,2017,,,0,2.5177257,0
ATG,2009,,,0,1.4171478,0.21629648
ATG,2010,,,0,1.4173537,0.21646972
ATG,2011,,,0,1.4175489,0.2166295
ATG,2012,,,0,1.4176104,0.21668237
ATG,2013,,,0,1.4176712,0.21673496
ATG,2014,,,0,1.4177377,0.21678722
ATG,2015,,,0,1.4177983,0.21683949
ATG,2016,,,0,1.4178522,0.21688549
ATG,2017,,,0,1.4178994,0.21692522
ATG,2018,,,0,1.4179401,0.21695927
ATG,2019,,,0,1.4179742,0.21698704
